08-02-2021 17:03:03: Start!
Date Time Episode Position Velocity Reward 
08-02-2021 17:03:04: 0 0.00038546926135252235 -0.00038546925180647524 -1048.9459590237507
08-02-2021 17:03:06: 1 0.00038546926135252235 -0.00038546925180647524 -1048.9459590237507
08-02-2021 17:03:06: 2 0.00038546926135252235 -0.00038546925180647524 -1048.9459590237507
08-02-2021 17:03:09: 3 -0.7129804402161461 0.6540911247834855 -5825.518694738457
08-02-2021 17:03:12: 4 -0.581996078091013 0.5496924886994591 -4223.195826838067
08-02-2021 17:03:15: 5 -2.9202276615538416 0.21956151161041043 -4521.87710128301
08-02-2021 17:03:18: 6 3.005414743907947 -0.13575740963914054 -4697.9403525945
08-02-2021 17:03:21: 7 2.9324750921296454 -0.2075967666221647 -4552.588281133986
08-02-2021 17:03:51: Start!
Date Time Episode Position Velocity Reward 
08-02-2021 17:03:53: 0 0.00038546926135252235 -0.00038546925180647524 -1048.9459590237507
08-02-2021 17:03:54: 1 0.00038546926135252235 -0.00038546925180647524 -1048.9459590237507
08-02-2021 17:03:55: 2 0.00038546926135252235 -0.00038546925180647524 -1048.9459590237507
08-02-2021 17:03:57: 3 2.7811387897735127 -0.3526989666816458 -3337.333221748735
08-02-2021 17:04:00: 4 -3.141592653589793 0.0 -4934.802200544519
08-02-2021 17:04:03: 5 -3.141592653589793 0.0 -4934.802200544519
08-02-2021 17:04:06: 6 -3.141592653589793 0.0 -4934.802200544519
08-02-2021 17:04:09: 7 -3.141592653589793 0.0 -4934.802200544519
08-02-2021 17:04:12: 8 -3.141592653589793 0.0 -4934.802200544519
08-02-2021 17:04:15: 9 -3.141592653589793 0.0 -4934.802200544519
08-02-2021 17:04:18: 10 -3.141592653589793 0.0 -4934.802200544519
08-02-2021 17:04:23: 11 -3.141592653589793 0.0 -4934.802200544519
08-02-2021 17:04:26: 12 -3.141592653589793 0.0 -4934.802200544519
08-02-2021 17:04:36: Start!
Date Time Episode Position Velocity Reward 
08-02-2021 17:04:38: 0 0.00038546926135252235 -0.00038546925180647524 -1048.9459590237507
08-02-2021 17:04:39: 1 0.00038546926135252235 -0.00038546925180647524 -1048.9459590237507
08-02-2021 17:04:39: 2 0.00038546926135252235 -0.00038546925180647524 -1048.9459590237507
08-02-2021 17:04:42: 3 1.2878898309593616 -0.9602481535401723 -13843.097470040946
08-02-2021 17:04:45: 4 -1.7333582952405173 0.9868158756826237 -15634.240375161606
08-02-2021 17:04:48: 5 1.2240639249644154 -0.9404881481718035 -11962.907625228356
08-02-2021 17:05:22: Start!
Date Time Episode Position Velocity Reward 
08-02-2021 17:05:23: 0 0.00038546926135252235 -0.00038546925180647524 -1048.9459590237507
08-02-2021 17:05:25: 1 0.00038546926135252235 -0.00038546925180647524 -1048.9459590237507
08-02-2021 17:05:25: 2 0.00038546926135252235 -0.00038546925180647524 -1048.9459590237507
08-02-2021 17:05:45: Start!
Date Time Episode Position Velocity Reward 
08-02-2021 17:05:46: 0 0.00038546926135252235 -0.00038546925180647524 -1048.9459590237507
08-02-2021 17:05:47: 1 0.00038546926135252235 -0.00038546925180647524 -1048.9459590237507
08-02-2021 17:05:48: 2 0.00038546926135252235 -0.00038546925180647524 -1048.9459590237507
08-02-2021 17:05:50: 3 -1.8892147391549337 0.9497317452415142 -12850.551320892271
08-02-2021 17:05:53: 4 -0.8400670174291136 0.7446878499412215 -3986.014905157809
08-02-2021 17:05:56: 5 -0.7904198197939314 0.7106486980048996 -3783.225162736257
08-02-2021 17:05:59: 6 -1.0238406233331716 0.8541117840379547 -4456.017519583942
08-02-2021 17:06:02: 7 -0.15547605671991604 0.1548504313083766 -4827.328366196533
08-02-2021 17:06:05: 8 -1.2191857750901072 0.9388192401294828 -4146.552025662109
08-02-2021 17:06:09: 9 -2.8570887137475784 0.2806813668109755 -4434.181892010391
08-02-2021 17:06:11: 10 3.020167580833804 -0.1211269097912155 -4652.783004315179
08-02-2021 17:06:16: 11 3.1414154518681734 -0.0001772017206926001 -4635.746219268753
08-02-2021 17:06:19: 12 2.958227950331321 -0.18233889584223445 -4354.071167060669
08-02-2021 17:06:22: 13 -2.7825823279832216 0.3513478277865687 -4357.06966923277
08-02-2021 17:07:06: Start!
Date Time Episode Position Velocity Reward 
08-02-2021 17:07:07: 0 0.00038546926135252235 -0.00038546925180647524 -1048.9459590237507
08-02-2021 17:07:09: 1 0.00038546926135252235 -0.00038546925180647524 -1048.9459590237507
08-02-2021 17:07:09: 2 0.00038546926135252235 -0.00038546925180647524 -1048.9459590237507
08-02-2021 17:07:12: 3 -0.0014511924272433419 0.001451191917884781 -3928.705704315605
08-02-2021 17:07:15: 4 3.0611699692938856 -0.08033601924515484 -4858.370815333565
08-02-2021 17:07:18: 5 -3.106652096270273 0.03493344826699403 -4834.860672779362
08-02-2021 17:07:21: 6 3.1158839809032735 -0.02570584081619444 -4884.35701470059
08-02-2021 17:07:24: 7 -3.1286335178990416 0.01295877296932178 -4879.956870252336
08-02-2021 17:07:27: 8 -3.132946931534356 0.008645614346699736 -4892.118350937586
08-02-2021 17:07:30: 9 -3.1143048112851446 0.027284455889718763 -4867.2571816310865
08-02-2021 17:07:33: 10 3.115443471859284 -0.026146201785763375 -4892.076897422743
