20-12-2020 10:34:17: Start!
Date Time Episode Position Velocity Reward 
20-12-2020 10:34:20: 0 -2.506789111650651 0.5930193400854183 -4338.853359750274
20-12-2020 10:34:25: 1 -1.6662097516064378 0.9954515913746086 -5788.401468929153
20-12-2020 10:34:30: 2 1.3610640565573267 -0.9780866905906943 -4457.997447563284
20-12-2020 10:34:37: 3 2.5209491853397488 -0.5815587451582191 -10103.951443929509
20-12-2020 10:34:46: 4 -2.3305040220229873 0.725037354798166 -3580.7718835375954
20-12-2020 10:34:54: 5 -2.3279906553839176 0.7267660425306741 -3585.477911450034
20-12-2020 10:35:04: 6 -2.389691747836686 0.6830283992350982 -3584.1057829484776
20-12-2020 10:35:13: 7 -1.0134985366398226 0.8486873925398063 -7334.614092296141
20-12-2020 10:35:23: 8 1.8551828678786073 -0.9598339506163481 -13256.57883735447
20-12-2020 10:35:33: 9 -2.3295992297231303 0.7256601970286075 -3598.6215456883447
20-12-2020 10:35:43: 10 -2.4116923874901097 0.6667953125376327 -3573.5085706013338
20-12-2020 10:35:54: 11 -2.3603139114268004 0.7041879190732822 -3580.3167547465964
20-12-2020 10:36:04: 12 -2.393812218400962 0.6800130514556503 -3575.01239612746
20-12-2020 10:36:16: 13 -2.339999742610786 0.7184649720996001 -3586.8055327469606
20-12-2020 10:36:27: 14 -2.3738324206319747 0.6945255412146143 -3581.6570506557046
20-12-2020 10:36:39: 15 -2.3724548320863033 0.6955160128256267 -3586.6365463386696
20-12-2020 10:36:51: 16 -2.402149446557889 0.6738766330278996 -3582.0756574837615
20-12-2020 10:37:03: 17 -2.4393279033898008 0.6459482101278976 -3576.289855298693
20-12-2020 10:37:16: 18 -2.421966940942262 0.6591032344151762 -3569.3232757468013
20-12-2020 10:37:29: 19 -2.368738428042244 0.6981814792522948 -3572.8469703934707
20-12-2020 10:37:42: 20 -2.364333196972691 0.7013284912309682 -3575.4890460582415
20-12-2020 10:37:56: 21 -2.4159755356649475 0.6635972287716285 -3578.99145798652
20-12-2020 10:38:09: 22 -2.4036769297405876 0.6727472757148599 -3583.545543658536
20-12-2020 10:38:24: 23 2.4014985157629916 -0.6743574264655764 -3803.927532257559
20-12-2020 10:38:38: 24 2.356551272930858 -0.7068544526928897 -3617.5796859528514
20-12-2020 10:38:53: 25 2.428586686649645 -0.6541104333866873 -3582.970168053238
20-12-2020 10:39:08: 26 2.3771538650775463 -0.6921320414584504 -3580.003324069164
20-12-2020 10:39:24: 27 2.370981251199729 -0.696574040787107 -3582.4372529528473
20-12-2020 10:39:39: 28 2.360768149851854 -0.7038653309565253 -3579.676077964886
20-12-2020 10:39:55: 29 2.410718607791776 -0.6675206967463956 -3575.904598975683
20-12-2020 10:40:11: 30 2.4085943006044976 -0.6691009299327871 -3577.97926519716
20-12-2020 10:40:28: 31 2.3648321149498015 -0.7009727561491277 -3587.2247489289753
20-12-2020 10:40:45: 32 2.406638380504403 -0.6705532333053175 -3574.9720963874224
20-12-2020 10:41:03: 33 2.401369281952661 -0.6744528477359476 -3586.3877659089
20-12-2020 10:41:20: 34 2.3317095092395146 -0.7242065976378029 -3601.2571544291945
20-12-2020 10:41:38: 35 -2.6962230976642134 0.4307914160190483 -4071.056547678411
20-12-2020 10:41:57: 36 -2.062675510569173 0.8814469086933099 -4095.2174033962146
20-12-2020 10:42:15: 37 -0.6624410401084528 0.6150434260990871 -3867.1561960500326
20-12-2020 10:42:34: 38 2.5537752177568187 -0.554546117865155 -3493.125357742471
20-12-2020 10:42:53: 39 -2.596211303655931 0.5187441555362023 -3313.9988139473403
20-12-2020 10:43:12: 40 2.0690806355823153 -0.878403816046412 -3501.4460145958965
20-12-2020 10:43:32: 41 2.3517637364904616 -0.7102328461241794 -3477.5809604532424
20-12-2020 10:43:52: 42 -0.11733293124505062 0.11706389576425309 -2800.534771812701
20-12-2020 10:44:12: 43 -2.447041396033388 0.6400407167706234 -3643.251008000955
20-12-2020 10:44:32: 44 -2.849106352301738 0.28833382179802897 -3562.696214563194
20-12-2020 10:44:53: 45 -1.6759229316189348 0.9944792856851133 -3677.1273902110997
20-12-2020 10:45:14: 46 2.0804233244443147 -0.8729265381893171 -3567.894164460773
20-12-2020 10:45:36: 47 -2.1480899622393705 0.8379427373673091 -3382.1089493632217
20-12-2020 10:45:57: 48 2.814078164278331 -0.32169063152922023 -3289.802576215349
20-12-2020 10:46:19: 49 -1.4524049287224088 0.9929999205625931 -3319.7289186556545
20-12-2020 10:46:42: 50 -1.3803681966348123 0.9819232889323559 -3376.851345449165
20-12-2020 10:47:05: 51 -2.0702991142971445 0.8778208297719905 -3372.2462831230478
20-12-2020 10:47:27: 52 -1.7001798018788516 0.9916416279408146 -3341.2553836102566
20-12-2020 10:47:51: 53 -2.3149693755077116 0.7356483006344327 -3375.414793526222
20-12-2020 10:48:14: 54 1.8733115725522849 -0.9545901620152957 -3397.866438385198
20-12-2020 10:48:38: 55 3.1351514992962635 -0.006441109754684309 -3481.6990132358164
20-12-2020 10:49:02: 56 1.8242381109068972 -0.968055173572141 -3455.685669560088
20-12-2020 10:49:27: 57 2.54454457089871 -0.562203694352528 -3470.4832805342517
20-12-2020 10:49:51: 58 2.0451663232005437 -0.8895806699875186 -3559.7231246347574
20-12-2020 10:50:17: 59 2.368789688062182 -0.6981447802194822 -3593.765563695099
20-12-2020 10:50:42: 60 2.271039080886604 -0.7646857782705947 -3613.703747301084
20-12-2020 10:51:08: 61 2.2446353705729134 -0.7814319032715252 -3614.2494124712325
20-12-2020 10:51:33: 62 2.266232991189069 -0.7677739950563423 -3613.0529623050456
20-12-2020 10:52:00: 63 2.2957145136985746 -0.7485536726249533 -3610.112515396816
20-12-2020 10:52:27: 64 2.31713863195694 -0.7341771953593327 -3619.974985671359
20-12-2020 10:52:54: 65 2.310955472500856 -0.738361239352597 -3618.1996465893153
20-12-2020 10:53:21: 66 2.3088689056420604 -0.7397668230215697 -3613.0649350862495
20-12-2020 10:53:49: 67 2.323822856447576 -0.7296225210144698 -3613.205653149288
20-12-2020 10:54:17: 68 2.3087964375864107 -0.739815582175567 -3618.4562882750297
20-12-2020 10:54:46: 69 2.314440368872752 -0.7360065275727621 -3618.7693532260164
