18-01-2021 21:32:51: Start!
Date Time Episode Position Velocity Reward 
18-01-2021 21:32:52: 0 1.3029955404164788 -0.964355164644336 -7584.456543504357
18-01-2021 21:32:53: 1 2.5784814970298946 -0.5338195662131586 -12360.201082488416
18-01-2021 21:32:54: 2 0.08530572331664743 -0.08520229838607764 -13036.311373049282
18-01-2021 21:32:56: 3 -2.4550579979498615 0.6338607325827219 -4155.066787935313
18-01-2021 21:33:00: 4 -2.665329387862611 0.45846149497730315 -3744.0108402387996
18-01-2021 21:33:03: 5 -2.998509597232319 0.14259533833559682 -4129.137760195491
18-01-2021 21:33:06: 6 -2.40393147768901 0.6725589209313912 -3744.5005491928246
18-01-2021 21:33:09: 7 -2.3808405708080276 0.6894663869056461 -3681.7344424285293
18-01-2021 21:33:13: 8 -2.3259073264399435 0.7281954718973798 -3725.358613929903
18-01-2021 21:33:16: 9 -2.4137089220664585 0.6652911537654751 -3796.0240908191117
18-01-2021 21:33:20: 10 2.3303061104740515 -0.7251736441701434 -3808.734536199675
18-01-2021 21:33:24: 11 2.263567699437651 -0.7694789737443208 -3691.6531467938476
18-01-2021 21:33:27: 12 2.360976575886914 -0.7037172636866906 -3657.9071720601996
18-01-2021 21:33:31: 13 2.3632261811398703 -0.7021171845473118 -3702.276580167552
18-01-2021 21:33:34: 14 2.4183546433241894 -0.6618155656605861 -3677.4304408668854
18-01-2021 21:33:38: 15 2.5279449976621144 -0.575853436311985 -3685.750483409455
18-01-2021 21:33:41: 16 2.4517079025553308 -0.6364482926894148 -3677.0623747822074
18-01-2021 21:33:45: 17 2.4437136744321126 -0.6425939931537306 -3698.9477732022174
18-01-2021 21:33:48: 18 2.2786083743025305 -0.7597862409865002 -3663.639418482994
18-01-2021 21:33:52: 19 2.4293495665597735 -0.6535332014527805 -3704.1857756301874
18-01-2021 21:33:56: 20 2.928119537881628 -0.2118554502741548 -4014.857867312755
18-01-2021 21:34:00: 21 3.0086833932644295 -0.1325183016298967 -4326.259594096237
18-01-2021 21:34:04: 22 -3.0744996396477324 0.06704268904378138 -4112.590736930042
18-01-2021 21:34:08: 23 2.6255010189663537 -0.49348459704708325 -4088.446598446731
18-01-2021 21:34:11: 24 2.5266737040236027 -0.5768923205482039 -3914.858908304631
18-01-2021 21:34:15: 25 2.7829565309168984 -0.35099745756909106 -4322.172341638618
18-01-2021 21:34:19: 26 2.8933609640682203 -0.24569023535311188 -4412.265564066166
18-01-2021 21:34:22: 27 -3.099448972644568 0.04213120689241182 -4285.343555025859
18-01-2021 21:34:26: 28 -2.957320187802061 0.18323136515831287 -4559.629279947553
18-01-2021 21:34:30: 29 -2.748077409638414 0.3834373404251184 -4406.94109129092
18-01-2021 21:34:35: 30 2.121832955799455 -0.8519822313534724 -4261.213112401572
18-01-2021 21:34:39: 31 -3.0623887602178215 0.07912110828338344 -4208.012922230512
18-01-2021 21:34:43: 32 -2.453898441030997 0.6347571622985256 -4213.721626871229
18-01-2021 21:34:47: 33 -2.615201963781825 0.5024159167946612 -3945.702477663151
18-01-2021 21:34:51: 34 -2.435131171650312 0.6491462185900134 -3741.556807133658
18-01-2021 21:34:55: 35 -2.5457946830614704 0.5611694140698438 -3881.2426260764382
18-01-2021 21:34:59: 36 -2.865340739094946 0.2727515979001403 -3952.4401000003336
18-01-2021 21:35:03: 37 -2.2974361804477743 0.7474109709733808 -4106.653104032758
18-01-2021 21:35:07: 38 -2.1923791147794214 0.8129577821046514 -4153.799376227092
18-01-2021 21:35:11: 39 3.0202461518142147 -0.1210489169528377 -4475.092675522056
18-01-2021 21:35:16: 40 -3.0158526599294095 0.12540891916646055 -4657.008291282332
18-01-2021 21:35:20: 41 2.962379458178672 -0.17825542535831568 -4557.491580320371
18-01-2021 21:35:24: 42 -3.086636670526108 0.05492832459634826 -4863.791985176995
18-01-2021 21:35:28: 43 -3.0202508343293353 0.12104426886906258 -4931.72256745822
18-01-2021 21:35:33: 44 -2.4278955579070303 0.6546330462568356 -3980.6325820554976
18-01-2021 21:35:37: 45 -2.3083285697894187 0.7401302871874574 -3707.685610061928
18-01-2021 21:35:41: 46 -2.388566526563059 0.6838498190729468 -3702.6666579255148
18-01-2021 21:35:45: 47 -2.424286345601341 0.6573571490952566 -3693.3441142766114
18-01-2021 21:35:50: 48 -2.37871492479014 0.6910044711061599 -3673.5640702094884
18-01-2021 21:35:54: 49 -2.4089863527157416 0.6688095165449163 -3675.757587579519
18-01-2021 21:35:59: 50 -2.4056559243272115 0.6712817559036197 -3683.929618641505
18-01-2021 21:36:04: 51 -2.266393815709147 0.7676709415189722 -3667.868083067256
18-01-2021 21:36:08: 52 -2.318600348442974 0.7331839674130425 -3647.1804744876704
18-01-2021 21:36:13: 53 -2.3759946006953 0.6929682994956814 -3706.930481586476
18-01-2021 21:36:17: 54 -2.272995342239688 0.7634236945211279 -3693.8439733978953
18-01-2021 21:36:22: 55 -2.265725976202587 0.7680987513863808 -3674.4148746681944
18-01-2021 21:36:26: 56 -2.2887989293472906 0.7531212818256514 -3670.6047921012696
18-01-2021 21:36:31: 57 -2.4877994955987983 0.6082017163966467 -3785.780380243007
18-01-2021 21:36:35: 58 -2.3465806036212307 0.713872043292625 -3668.6249050534684
18-01-2021 21:36:40: 59 -2.3830772775617657 0.6878445773599552 -3644.4126273474394
18-01-2021 21:36:45: 60 -2.16736475268232 0.8272683641535542 -3651.8289246976833
18-01-2021 21:36:50: 61 -2.391213700664892 0.6819159867101999 -3662.949432421685
18-01-2021 21:36:55: 62 -2.323309425067124 0.7299735349379557 -3662.096458687865
18-01-2021 21:37:00: 63 -2.3751606383566113 0.6935693186536513 -3728.4016138693005
18-01-2021 21:37:04: 64 -2.4619892418314944 0.628484598380243 -3713.4077598119916
18-01-2021 21:37:09: 65 -2.433699024947159 0.6502349344410507 -3702.007302094186
18-01-2021 21:37:14: 66 -2.5452418978056404 0.5616268691979491 -3717.548505343047
18-01-2021 21:37:19: 67 -2.7143488748377713 0.41436391145651774 -3528.1860047943073
18-01-2021 21:37:24: 68 -2.3618993187186987 0.7030613737426228 -3635.082130266161
18-01-2021 21:37:28: 69 -2.3020992809254412 0.7443048695079841 -3657.762124506538
18-01-2021 21:37:34: 70 -2.4717735266689687 0.6208442046413001 -3734.970196027227
18-01-2021 21:37:39: 71 -2.3869534821853335 0.6850258428537003 -3680.24842760756
18-01-2021 21:37:44: 72 -2.4350497101396975 0.6492081812460009 -3704.1403512390216
18-01-2021 21:37:49: 73 -2.42826326250643 0.6543550368899509 -3675.3367925010416
18-01-2021 21:37:54: 74 -2.3714144052281547 0.6962631939683691 -3645.051519341276
18-01-2021 21:37:59: 75 -2.413052155514359 0.6657813416507842 -3644.8534459610264
18-01-2021 21:38:04: 76 -2.311269330246322 0.738149535622406 -3655.356023992429
18-01-2021 21:38:09: 77 -2.3852564453658776 0.6862611790180579 -3635.4577776281567
18-01-2021 21:38:14: 78 -2.401217972533793 0.6745645544708239 -3625.178820298877
18-01-2021 21:38:19: 79 -2.3282916544457084 0.7265592578451185 -3635.5389861623626
18-01-2021 21:38:26: 80 -2.4138424553749136 0.6651914540017171 -3633.303602120837
18-01-2021 21:38:31: 81 -2.403386675540947 0.6729619984317032 -3634.9948525795126
18-01-2021 21:38:36: 82 -2.312162038667978 0.7375469873248739 -3637.672009671401
18-01-2021 21:38:41: 83 -2.3811918621121846 0.6892118978665055 -3648.695746872435
18-01-2021 21:38:47: 84 -2.3024544938602727 0.7440675971509476 -3626.8226031993854
18-01-2021 21:38:52: 85 -2.3492491799161943 0.712000763292756 -3638.549629776872
18-01-2021 21:38:57: 86 -2.4724952270327325 0.6202782775733601 -3639.8084018819322
18-01-2021 21:39:02: 87 -2.3019349126398874 0.7444146311683585 -3651.97587791703
18-01-2021 21:39:08: 88 -2.3458216447677342 0.7144033184343717 -3639.6882514088816
18-01-2021 21:39:13: 89 -2.302765034804893 0.7438600875236971 -3646.777300832045
18-01-2021 21:39:19: 90 -2.3038532144873765 0.7431323782783972 -3637.9960022101195
18-01-2021 21:39:25: 91 -2.3935329704883728 0.6802177695108718 -3648.36280436604
18-01-2021 21:39:30: 92 -2.335076034170079 0.7218809995516329 -3648.0031300172495
18-01-2021 21:39:36: 93 -2.4273790688694774 0.6550233971629179 -3636.0208236940766
18-01-2021 21:39:41: 94 -2.4409455181084567 0.6447125088260272 -3647.2059625798465
18-01-2021 21:39:47: 95 -2.3072940946402785 0.7408255378211427 -3643.1526536812103
18-01-2021 21:39:52: 96 -2.341698733415713 0.7172821803370378 -3648.0113679081164
18-01-2021 21:39:58: 97 -2.3081169365694247 0.7402725862273887 -3634.1807874357605
18-01-2021 21:40:03: 98 -2.35939786468231 0.7048380292127443 -3634.8652242480916
18-01-2021 21:40:09: 99 -2.342180289433557 0.7169465572308591 -3631.6134407880613
18-01-2021 21:40:16: 100 -2.4254835901588496 0.6564544596144597 -3626.0579004750552
18-01-2021 21:40:21: 101 -2.267026498305156 0.7672653369112801 -3627.117844276491
18-01-2021 21:40:27: 102 -2.3802386987266235 0.6899022085892919 -3626.994680781379
18-01-2021 21:40:33: 103 -2.2797169006473794 0.7590650404634225 -3642.6836869233825
18-01-2021 21:40:39: 104 -2.331160131413066 0.724585329975747 -3634.818594820684
18-01-2021 21:40:44: 105 -2.2803553993201007 0.7586492136806048 -3629.334982660512
18-01-2021 21:40:50: 106 -2.343016694354322 0.7163632251195651 -3632.377653082955
18-01-2021 21:40:56: 107 -2.411337405356319 0.6670598177276293 -3618.529716275818
18-01-2021 21:41:02: 108 -2.3378645368514555 0.7199485036193717 -3636.2635910259137
