23-01-2021 20:19:35: Start!
Date Time Episode Position Velocity Reward 
23-01-2021 20:19:35: 0 -2.3244222893148576 0.07105090012471009 -3634.3554549424052
23-01-2021 20:19:37: 1 -2.3244222893148576 0.07105090012471009 -3634.3554549424052
23-01-2021 20:19:37: 2 -2.3244222893148576 0.07105090012471009 -3634.3554549424052
23-01-2021 20:19:39: 3 -0.4211713211313075 -50.16776306770245 -12453.662369290423
23-01-2021 20:19:40: 4 2.3885410879541364 -0.10246936074061717 -3515.0167236312677
23-01-2021 20:19:41: 5 -2.587686083859092 0.8283453077930768 -3905.5645469348497
23-01-2021 20:19:43: 6 -1.8693286373909084 -4.245387706548423 -3907.92346401634
23-01-2021 20:19:44: 7 -2.3341845588877463 2.2131521424677394 -3783.159467671982
23-01-2021 20:19:45: 8 -2.501925751832122 1.9210521968375418 -3887.8380153434555
23-01-2021 20:19:47: 9 -2.030740718154042 -0.7523607004078554 -3769.529849426438
23-01-2021 20:19:48: 10 -2.5574272824161906 -1.458366458812365 -3943.431179528529
23-01-2021 20:19:50: 11 -2.361182861279623 2.389533033075698 -3837.9598474439645
23-01-2021 20:19:52: 12 -3.08001244455481 -0.6283639649270883 -4121.8232183593345
23-01-2021 20:19:53: 13 -2.5125600384707676 3.824702033972441 -4131.766585652769
23-01-2021 20:19:55: 14 2.3946129661005964 1.9515370192924513 -3943.3540915260087
23-01-2021 20:19:56: 15 -2.9282578331356444 -0.8259156957648773 -4026.421839112827
23-01-2021 20:19:58: 16 -1.6531367236715209 0.8246456287921172 -3872.0821509579023
23-01-2021 20:19:59: 17 1.9279713655334385 -2.2320054669874483 -3706.2696392580497
23-01-2021 20:20:01: 18 -2.8749984161180384 7.278278019029617 -3649.107968870482
23-01-2021 20:20:02: 19 2.2188226145840453 0.7234547858227233 -3732.0643943280256
23-01-2021 20:20:03: 20 2.3528969639696617 -0.37954536794514027 -3569.738461143011
23-01-2021 20:20:06: 21 2.331766141360566 -0.4386487853817241 -3577.646587436998
23-01-2021 20:20:07: 22 2.380339641164934 -0.22047012133492805 -3533.0271412572392
23-01-2021 20:20:09: 23 2.3548359866677107 -0.4715221740709609 -3559.976070545591
23-01-2021 20:20:10: 24 2.3610110743421204 -0.4368605644586278 -3555.9540213814953
23-01-2021 20:20:12: 25 2.3581779859482648 -0.235244171276312 -3577.94103348013
23-01-2021 20:20:14: 26 2.3838816031644923 -0.4281615680578409 -3545.8003448751556
23-01-2021 20:20:15: 27 2.38168367317299 -0.44112496800456213 -3546.85355086651
23-01-2021 20:20:17: 28 2.1526549012086553 -0.5412822720131335 -3604.131696968032
23-01-2021 20:20:18: 29 2.726508628345753 0.15842715699127286 -3721.7668273018107
23-01-2021 20:20:20: 30 2.6752028706864746 1.2264873603295172 -3695.2404958231687
23-01-2021 20:20:22: 31 2.5974905778110884 0.9209176639820924 -3733.839322422855
23-01-2021 20:20:24: 32 2.5354486751591336 -0.9596138005050361 -3963.340262029181
23-01-2021 20:20:26: 33 2.716044003841665 1.043100572278564 -3765.5945774211423
23-01-2021 20:20:27: 34 2.740568663733546 1.8594731894785272 -3918.2642674963367
23-01-2021 20:20:29: 35 1.8329524303846085 0.49007644006096357 -3834.0986870812703
23-01-2021 20:20:31: 36 1.8586540362857722 1.8182974874662727 -3770.5293884464536
23-01-2021 20:20:32: 37 2.7995736523000705 0.45954710854692227 -3870.6311173377926
23-01-2021 20:20:34: 38 2.911732015679222 -1.4708729168922443 -3928.2195869566754
23-01-2021 20:20:36: 39 2.4505077931313615 -0.6325544340122669 -3871.749954281852
23-01-2021 20:20:38: 40 2.2890061248796956 0.531164365905745 -3697.9430417759586
23-01-2021 20:20:40: 41 1.9334759741311265 -3.5272046584523213 -3936.846376117627
23-01-2021 20:20:42: 42 2.1728573393547226 3.5567158746092344 -3781.4183914925516
23-01-2021 20:20:44: 43 2.274157521559811 0.3822854502379235 -3786.8941290219436
23-01-2021 20:20:46: 44 2.272979409295875 -0.468004014086919 -3646.050580588264
23-01-2021 20:20:47: 45 2.338509426678094 -0.5601221628978583 -3615.1733658729468
23-01-2021 20:20:49: 46 2.3519848763740807 -0.2713454889527541 -3607.104237302663
23-01-2021 20:20:51: 47 2.342504468856699 -0.41190263401274113 -3601.038202741453
23-01-2021 20:20:53: 48 2.4091012813986845 -0.2600684109772253 -3640.7332201398476
23-01-2021 20:20:55: 49 2.2542077090972494 1.4822007728114612 -3698.5075537162597
23-01-2021 20:20:56: 50 2.3412692992019597 1.2603062757668677 -3724.313308889909
23-01-2021 20:20:59: 51 2.262632123045095 -1.7706983798501708 -3753.113143050157
23-01-2021 20:21:01: 52 2.4697846229404306 0.39160881819704874 -3731.9715751887293
23-01-2021 20:21:03: 53 2.442080841715036 0.5720847669294683 -3700.2691395112415
23-01-2021 20:21:05: 54 2.07726172669223 -2.0063005996857135 -3860.0286546597613
23-01-2021 20:21:07: 55 2.493897102297888 4.206774967180258 -3761.162671138538
23-01-2021 20:21:09: 56 -2.923969261830046 2.549930926477185 -4007.953540369383
23-01-2021 20:21:11: 57 1.9626839248180374 1.6075575121425039 -3872.066297975716
23-01-2021 20:21:12: 58 1.710289308780383 -2.845845645090557 -4054.1290181503823
23-01-2021 20:21:14: 59 1.7591657041972386 -3.214566069145158 -4077.242099385963
23-01-2021 20:21:16: 60 2.1937255183256195 -2.0080849761087918 -3748.291586783787
23-01-2021 20:21:19: 61 2.2832329022992823 -2.273487766303796 -3629.932880227954
23-01-2021 20:21:21: 62 2.5614926704790637 -1.6785119895231198 -3755.365643176921
23-01-2021 20:21:23: 63 -2.6926890180540948 2.1245720540695525 -4055.5072630934387
23-01-2021 20:21:25: 64 3.037501022951969 0.8947451173327448 -3664.153808993755
23-01-2021 20:21:27: 65 2.541047827793216 -1.342923693803565 -3726.1856138116104
23-01-2021 20:21:29: 66 2.402990919337924 -2.1921812892006303 -3607.4973389688435
23-01-2021 20:21:31: 67 2.2940079701758975 -2.767661521762661 -3753.7860082864986
23-01-2021 20:21:33: 68 2.638261809353926 -0.010980562934454485 -3712.2142106015854
23-01-2021 20:21:35: 69 2.381128463587249 -2.6878618636718454 -3632.2270489741622
23-01-2021 20:21:38: 70 2.349886785441565 -2.194461482036805 -3607.4691420684308
23-01-2021 20:21:40: 71 2.0516888067124546 -0.8211968393533352 -3629.0229364916045
23-01-2021 20:21:43: 72 2.6719594030091436 -1.5996220204730496 -3613.627554343248
23-01-2021 20:21:45: 73 2.6463889496930797 -1.9604913197542433 -3669.9921785042225
23-01-2021 20:21:47: 74 2.6961401021990596 -1.313524027747832 -3613.219773995431
23-01-2021 20:21:49: 75 2.560149632595918 -2.2936221695889936 -3626.357678984247
23-01-2021 20:21:51: 76 2.6616313887431016 -1.3373132098026417 -3612.4220847186407
23-01-2021 20:21:53: 77 2.3912093848996196 -3.4887200590982186 -3676.360520530493
23-01-2021 20:21:56: 78 2.6703408787284113 0.49929895756089 -3591.2479214691775
23-01-2021 20:21:58: 79 2.6101286005414295 -2.3457718678371138 -3611.977125963821
23-01-2021 20:22:00: 80 2.3751902985994544 -0.6990682277970115 -3586.5691618320207
23-01-2021 20:22:03: 81 2.3539370874358925 -0.6337385447362673 -3578.7441193392433
23-01-2021 20:22:05: 82 2.460974322769304 -0.5761242083397877 -3579.274469993317
23-01-2021 20:22:07: 83 2.3396747464987397 -0.5069117601947191 -3574.036927092698
23-01-2021 20:22:10: 84 2.340529575449387 -0.49382316165196294 -3573.160338423502
23-01-2021 20:22:12: 85 2.3298138405309086 -0.4877057316981748 -3577.893123761695
