Date Time Episode Position Velocity Control Alpha Rho K 
12-02-2021 16:52:46: 0 -3.141592653589793 1.4414209340600799e-16 2.8499999999970047 4.5 2.85 0.3185
12-02-2021 16:52:46: 0 -3.137409710683656 0.8335389856160749 3.0 4.5 2.85 0.3185
12-02-2021 16:52:46: 0 -3.124778511435701 1.6879249381429346 3.0 4.5 2.85 0.3185
12-02-2021 16:52:46: 0 -3.10376259682688 2.5089141938793547 3.0 4.5 2.85 0.3185
12-02-2021 16:52:46: 0 -3.0747419697309013 3.2874038991790266 3.0 4.5 2.85 0.3185
12-02-2021 16:52:46: 0 -3.038184309640611 4.01498420327115 3.0 4.5 2.85 0.3185
12-02-2021 16:52:46: 0 -2.99463734439507 4.684079777310002 3.0 4.5 2.85 0.3185
12-02-2021 16:52:46: 0 -2.9447197579652764 5.288100180530531 3.0 4.5 2.85 0.3185
12-02-2021 16:52:46: 0 -2.8891105809141955 5.821591287564666 3.0 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -2.8285371091338005 6.280375983428765 3.0 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -2.7637615278282315 6.661669973082812 3.0 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -2.6955665621362925 6.9641583627514905 3.0 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -2.6247406103301705 7.188020832637773 3.0 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -2.5520629174949203 7.334897497857233 3.0 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -2.4782893987592587 7.407793300431181 3.0 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -2.4041397113475274 7.410925051277849 3.0 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -2.3302861038388825 7.349521013453354 3.0 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -2.2573444488071868 7.229587282560116 3.0 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -2.185867708805656 7.057657590248692 3.0 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -2.1163419166249566 6.840543358354254 3.0 4.5 2.85 0.3185
