Date Time Episode Position Velocity Control Alpha Rho K 
14-02-2021 15:47:55: 0 -3.141592653589793 1.4414209340600799e-16 0.0 26.160389 20.519764 54.97115
14-02-2021 15:47:55: 0 -3.141592653589793 2.8599762580237784e-16 3.0 26.160389 20.519764 54.97115
14-02-2021 15:47:55: 0 -3.1371895557935607 0.8774094587796002 3.0 27.116505 19.670856 52.510162
14-02-2021 15:47:55: 0 -3.1241252985149526 1.730583669121135 3.0 27.370895 17.346563 45.653774
14-02-2021 15:47:55: 0 -3.1026908746782764 2.549879184855761 3.0 27.3673 15.101394 38.410336
14-02-2021 15:47:55: 0 -3.073270967983616 3.326222083566162 3.0 27.161285 13.485754 31.564348
14-02-2021 15:47:55: 0 -3.0363376153373522 4.051238373586177 3.0 26.195648 13.427379 26.366793
14-02-2021 15:47:55: 0 -2.992442506182245 4.717396116474399 3.0 25.380165 13.5520525 22.41133
14-02-2021 15:47:55: 0 -2.942207812889704 5.318156146647675 3.0 24.615948 14.806265 21.860165
14-02-2021 15:47:55: 0 -2.886315502544326 5.848123366278386 3.0 23.949785 16.178322 22.165115
14-02-2021 15:47:55: 0 -2.825495181520365 6.303186647775648 3.0 23.300926 17.749434 22.617195
14-02-2021 15:47:55: 0 -2.7605106569037945 6.6806331121713916 3.0 22.317152 20.208483 23.764656
14-02-2021 15:47:55: 0 -2.6921455434531376 6.979222478013104 3.0 21.240192 22.490074 24.806658
14-02-2021 15:47:55: 0 -2.621188378368789 7.19920945474922 3.0 19.63279 25.049618 25.973766
14-02-2021 15:47:55: 0 -2.5484178060579303 7.342306527912266 3.0 17.951628 27.421383 26.987335
14-02-2021 15:47:55: 0 -2.4745884434223946 7.411585285767354 3.0 15.560277 30.285738 28.500023
14-02-2021 15:47:55: 0 -2.4004180232558916 7.411320718741741 3.0 13.795249 32.466908 30.419363
14-02-2021 15:47:55: 0 -2.326576339516567 7.3467886500061255 3.0 11.764486 34.642242 32.136387
14-02-2021 15:47:55: 0 -2.253676393756189 7.224030735160638 3.0 10.03787 36.428856 33.477077
