Date Time Episode Position Velocity Control Alpha Rho K 
Date Time Episode Position Velocity Control Alpha Rho K 
19-02-2021 19:11:26: 0 -3.141592653589793 1.4414209340600799e-16 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -3.1371895557935607 0.8774094587796 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -3.1241252985149526 1.7305836691211345 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -3.1026908746782764 2.5498791848557607 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -3.073270967983616 3.3262220835661616 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -3.0363376153373522 4.051238373586176 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.992442506182245 4.717396116474398 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.942207812889704 5.3181561466476746 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.886315502544326 5.848123366278385 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.825495181520365 6.3031866477756475 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.7605106569037945 6.68063311217139 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.6921455434531376 6.979222478013102 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.621188378368789 7.1992094547492185 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.5484178060579303 7.342306527912264 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.4745884434223946 7.4115852857673525 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.4004180232558916 7.411320718741739 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.326576339516567 7.346788650006125 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.253676393756189 7.224030735160637 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.1822679844799193 7.049603732773074 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.112833811956267 6.8303298429630654 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.0457880107522426 6.5730630829963275 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.9814768877844804 6.284483449900059 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.9201815455747315 5.9709266762369895 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.862122012625325 5.638253362379015 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.8074624834657564 5.2917576804335456 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.7563172838293628 4.936113016327888 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.708757213186808 4.575349980901029 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.6648159685684583 4.212861154664935 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.6244964121330856 3.851426605844951 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.5877765037521252 3.4932544572138555 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.5546147743190621 3.1400313851383963 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.5249552627120133 2.792978745204758 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.4987318780062422 2.452910898712933 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.4758721784702962 2.120293168034905 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.4563005806713178 1.7952976168911499 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.4399410266913275 1.4778555036098535 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.4267191462377653 1.1677057821927868 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.4165639545562811 0.8644394322275231 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.4094091276683525 0.5675396969848493 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.405193894561041 0.2764185155209126 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.4038635823858154 -0.009550434184804904 2.526355717581079 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.4060658142012379 -0.42984785634745987 1.806368546255011 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.4134990101598746 -1.0553604991640828 0.4184086800768503 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.4291858214475255 -2.0797353086898953 -1.3701998234221522 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.4576790087817777 -3.6155292545298168 -0.9311694577092106 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.5007858288756077 -5.002922541168319 -3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.5607169425567848 -6.9785210754352125 -3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.6402537100554158 -8.923197822207985 -2.0482183956427824 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.7376545821196974 -10.550384937794018 -3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.85250358782279 -12.409431707482634 -3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -1.9856082939400208 -14.197785342953669 -3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.1361390317127382 -15.889869016558748 -3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.302981290969596 -17.45450943711701 -3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.4846882416162543 -18.856831305519048 -3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.679458144017442 -20.06133401210387 -2.6471816918581696 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -2.884629895630563 -20.932755154714936 -1.6064436802569255 0.0 0.0 0.0
19-02-2021 19:11:26: 0 -3.095747201814995 -21.248633838272706 -1.0958579660739618 0.0 0.0 0.0
19-02-2021 19:11:26: 0 2.9751792872354343 -21.161505572020587 -3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 2.7622250143184033 -21.38823093897983 -3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 2.5482037645915554 -21.37866942569289 -3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 2.335344468846701 -21.16160681350417 -0.3921529209145107 0.0 0.0 0.0
19-02-2021 19:11:26: 0 2.129362433633422 -20.01288327527908 -3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 1.9316124368013599 -19.521103951893487 -3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 1.7391844675119081 -18.95606566036393 -3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 1.55258602658445 -18.362451670817993 -3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 1.3718913371764048 -17.781913289861688 -3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 1.1967797600964705 -17.251601627302946 1.4610379042372639 0.0 0.0 0.0
19-02-2021 19:11:26: 0 1.0331414488452024 -15.4950015456475 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.8887392759232116 -13.407364698392056 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.7645535286576237 -11.45163834106054 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.6592797938891741 -9.623745328070441 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.571684150569475 -7.914084650223944 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.5006469769971513 -6.309702456160997 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.4451883487590864 -4.7958205094742565 3.0 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.4044808579634016 -3.356845988514012 2.285407618953716 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.3768035655665867 -2.186790449381954 0.8412061210450561 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.3584797539673459 -1.4832272682433072 -0.3564224270825659 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.3452862150971727 -1.1587935421424762 -0.3006947171769952 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.33532589267292323 -0.8359872881046884 -0.21001295736082282 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.3286517784623788 -0.5009755657248826 -0.1347287854705222 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.32538077707603597 -0.15475950775952485 -0.09482104577413096 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.32559122511002636 0.1959542130747446 0.03428938408697204 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.3294784773984838 0.5811976430355567 0.03144520004375814 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.3372122238756501 0.9659715020196254 -0.16170212026912445 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.34852932697508576 1.2986700978057117 -0.5118185124164134 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.3627011021986517 1.5376748287796926 -0.9644194582139143 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.37866107006610283 1.6569420905615229 -1.3890730252440449 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.39526962160335843 1.667780110565463 -1.7320234942996489 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.41157221458420556 1.5958942812942032 -1.9718704976530494 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.4268960325198341 1.4719665949756762 -2.0699092815573685 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.4409265307435648 1.3370093316963547 -2.054921651211106 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.45371285595692434 1.2228389974808667 -1.9494537339023519 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.46558757638528814 1.1543914172704153 -1.8689843015016916 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.47696311917738043 1.122805108559375 -1.871008568199442 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.48808152675606076 1.102876681423559 -1.9692153661089877 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.49891553685581735 1.0659101679174166 -2.0622099363656035 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.5093016834075401 1.0132573555557767 -2.1097471466529636 0.0 0.0 0.0
19-02-2021 19:11:26: 0 0.5191482938503316 0.9579071347096794 -2.125460584888388 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.5284722936532913 0.9086203543996219 -2.1147945788894336 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.5373697901727441 0.8724903392570799 -2.062394797519387 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.5460304794601729 0.86114487101871 -2.0473470095974875 0.0 0.0 0.0
